student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00040,Germany,Ireland,Maynooth,Maynooth University,Economics,Law,2022,No,Scholarship,2025,Placed,Ireland,Tesla,112677,3.34,Tier 4,Post-Study Visa,IELTS,7
S00041,Finland,India,Tiruchirappalli,NIT Trichy,Architecture,Arts,2021,Yes,Political Stability,2023,Placed,India,McKinsey,138648,2.77,Schengen Student Visa,Post-Study Visa,PTE,8.2
S00042,UAE,UK,Birmingham,University of Birmingham,Design,Law,2023,Yes,Scholarship,2025,Not Placed,N/A,N/A,0,3.6,Study Permit,Blue Card,None,0
S00043,USA,UAE,Dubai,Heriot-Watt Dubai,Mechanical Engineering,Medicine,2020,Yes,Scholarship,2023,Placed,UAE,Facebook,72107,2.54,Study Permit,PSW,IELTS,6.1
S00044,Ireland,UAE,Dubai,Middlesex University Dubai,Law,Law,2023,No,Higher Ranking,2025,Placed,UAE,SAP,112487,2.72,Schengen Student Visa,Blue Card,IELTS,5.5
S00045,Canada,UAE,Dubai,Manipal Academy Dubai,Civil Engineering,Social Sciences,2021,No,Political Stability,2023,Placed,UAE,Siemens,96903,3.63,J1,OPT,IELTS,7.9
S00046,South Africa,USA,San Francisco,Stanford University,Finance,Arts,2019,Yes,Job Opportunities,2021,Not Placed,N/A,N/A,0,3.08,Study Permit,OPT,None,0
S00047,Ireland,USA,New York,NYU,Design,Arts,2021,Yes,Scholarship,2022,Not Placed,N/A,N/A,0,3.37,Study Permit,Blue Card,None,0
S00048,UK,India,Delhi,JNU Delhi,Political Science,Natural Sciences,2022,No,Job Opportunities,2025,Not Placed,N/A,N/A,0,2.6,Study Permit,Work Permit,None,0
S00049,India,Russia,Novosibirsk,Novosibirsk State University,Computer Science,Social Sciences,2019,No,Political Stability,2022,Placed,Russia,Google,129074,2.74,Study Permit,Post-Study Visa,None,0
S00050,South Africa,UK,London,Imperial College London,Civil Engineering,Law,2019,No,Political Stability,2020,Not Placed,N/A,N/A,0,3.08,Student Visa,OPT,None,0
S00051,South Africa,India,Chennai,IIT Madras,Electrical Engineering,Social Sciences,2022,Yes,Higher Ranking,2024,Placed,India,SAP,34817,3.1,F1,Blue Card,TOEFL,5.3
S00052,South Africa,Finland,Tampere,Tampere University,Civil Engineering,Arts,2020,No,Quality of Life,2021,Not Placed,N/A,N/A,0,3.93,Schengen Student Visa,Work Permit,TOEFL,6.1
S00053,South Africa,USA,New York,NYU,Psychology,Engineering,2022,Yes,Quality of Life,2025,Placed,USA,Apple,133553,3.83,Schengen Student Visa,Blue Card,PTE,7.9
S00054,UAE,Germany,Berlin,Humboldt University,Medicine,Social Sciences,2019,Yes,Higher Ranking,2022,Not Placed,N/A,N/A,0,3.11,Student Visa,Blue Card,PTE,7.4
S00055,India,Finland,Helsinki,University of Helsinki,Finance,Social Sciences,2019,Yes,Scholarship,2021,Not Placed,N/A,N/A,0,3.32,F1,Work Permit,Duolingo,7.4
S00056,South Africa,India,Delhi,Delhi University,Biotechnology,Medicine,2022,Yes,Job Opportunities,2025,Placed,India,Intel,83516,3.63,Tier 4,OPT,TOEFL,5.5
S00057,South Africa,Finland,Lappeenranta,LUT University,Electrical Engineering,Medicine,2023,Yes,Political Stability,2025,Not Placed,N/A,N/A,0,3.06,Schengen Student Visa,PSW,TOEFL,7.5
S00058,Ireland,USA,San Francisco,UC Berkeley,Data Science,Medicine,2023,No,Political Stability,2025,Not Placed,N/A,N/A,0,3.47,F1,OPT,Duolingo,7
S00059,Russia,Finland,Espoo,Aalto University,Data Science,Computer Science,2020,No,Job Opportunities,2022,Not Placed,N/A,N/A,0,3.34,Tier 4,Work Permit,Duolingo,6.1
S00060,Ireland,India,Delhi,JNU Delhi,Economics,Business,2023,No,Scholarship,2026,Placed,India,Google,84161,3.02,J1,Work Permit,None,0
S00061,South Africa,Canada,London,Western University,Architecture,Engineering,2020,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,2.87,F1,Blue Card,TOEFL,7.5
S00062,USA,Russia,Saint Petersburg,Saint Petersburg State University,Data Science,Computer Science,2022,Yes,Political Stability,2023,Placed,Russia,McKinsey,51363,3.01,Tier 4,PSW,PTE,7.2
S00063,Russia,UAE,Abu Dhabi,Zayed University,Biotechnology,Law,2023,No,Job Opportunities,2026,Not Placed,N/A,N/A,0,3.07,Tier 4,OPT,None,0
S00064,Germany,Canada,Toronto,University of Toronto,Civil Engineering,Natural Sciences,2022,Yes,Higher Ranking,2024,Placed,Canada,IBM,34218,2.71,F1,Post-Study Visa,IELTS,5.7
S00065,Russia,Germany,Munich,Technical University of Munich,Business Administration,Business,2019,No,Job Opportunities,2020,Placed,Germany,Amazon,107669,2.71,Schengen Student Visa,Blue Card,PTE,5.2
S00066,Ireland,UK,London,King's College London,Finance,Arts,2021,Yes,Job Opportunities,2023,Placed,UK,IBM,142540,3.53,Schengen Student Visa,Work Permit,TOEFL,5.7
S00067,UK,USA,Boston,MIT,Medicine,Social Sciences,2023,No,Quality of Life,2025,Not Placed,N/A,N/A,0,3.25,J1,Post-Study Visa,None,0
S00068,India,Canada,Ottawa,University of Ottawa,Business Administration,Social Sciences,2019,No,Political Stability,2020,Placed,Canada,Facebook,127261,3.24,Study Permit,PSW,TOEFL,6.4
S00069,USA,South Africa,Stellenbosch,Stellenbosch University,Political Science,Natural Sciences,2020,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,3.99,F1,PSW,TOEFL,7.8
S00070,South Africa,UK,Edinburgh,University of Edinburgh,Business Administration,Arts,2021,No,Higher Ranking,2024,Placed,UK,Amazon,55598,3.11,F1,Post-Study Visa,TOEFL,6.3
S00071,Russia,Finland,Tampere,Tampere University,Design,Business,2019,No,Political Stability,2022,Placed,Finland,McKinsey,80641,2.62,Schengen Student Visa,PSW,Duolingo,5.3
S00072,Ireland,Germany,Heidelberg,Heidelberg University,Law,Engineering,2020,No,Higher Ranking,2022,Placed,Germany,Tesla,120015,3.53,Student Visa,PSW,TOEFL,5.5
S00073,South Africa,UK,Cambridge,University of Cambridge,Law,Medicine,2023,No,Political Stability,2024,Placed,UK,Apple,57552,3.89,Student Visa,Post-Study Visa,TOEFL,6.8
S00074,Ireland,Finland,Lappeenranta,LUT University,Mechanical Engineering,Computer Science,2023,Yes,Quality of Life,2026,Placed,Finland,Apple,73613,3.42,F1,OPT,PTE,6.5
S00075,USA,UAE,Dubai,University of Dubai,Design,Computer Science,2021,Yes,Scholarship,2023,Not Placed,N/A,N/A,0,2.6,Student Visa,Blue Card,None,0
S00076,Canada,Russia,Kazan,Kazan Federal University,Psychology,Computer Science,2021,No,Quality of Life,2023,Placed,Russia,Goldman Sachs,149425,2.85,J1,Post-Study Visa,Duolingo,5.1
S00077,India,Canada,Edmonton,University of Alberta,Architecture,Computer Science,2019,Yes,Higher Ranking,2022,Placed,Canada,Facebook,63935,3.22,F1,Work Permit,None,0
S00078,Finland,UAE,Dubai,Middlesex University Dubai,Design,Engineering,2023,Yes,Higher Ranking,2025,Not Placed,N/A,N/A,0,3.18,Tier 4,Blue Card,TOEFL,6.3
S00079,Canada,UK,Manchester,University of Manchester,Architecture,Computer Science,2022,No,Political Stability,2024,Placed,UK,Google,112160,2.53,Student Visa,OPT,PTE,7.3
S00080,UK,Germany,Berlin,TU Berlin,Data Science,Natural Sciences,2021,No,Job Opportunities,2024,Not Placed,N/A,N/A,0,3.33,Tier 4,PSW,IELTS,7.2
S00081,Germany,India,Pilani,BITS Pilani,Psychology,Medicine,2023,No,Quality of Life,2026,Placed,India,Tesla,92250,3.09,J1,OPT,Duolingo,7.7
S00082,Russia,India,Delhi,JNU Delhi,Biotechnology,Business,2019,No,Job Opportunities,2020,Placed,India,Tesla,106963,2.61,Student Visa,Blue Card,PTE,6
S00083,Finland,UK,London,Imperial College London,Political Science,Engineering,2023,Yes,Higher Ranking,2026,Not Placed,N/A,N/A,0,2.65,Schengen Student Visa,PSW,Duolingo,8.5
S00084,Canada,USA,New York,NYU,Biotechnology,Natural Sciences,2022,No,Job Opportunities,2024,Placed,USA,Tesla,57256,3.38,Tier 4,PSW,TOEFL,7.4
S00085,UAE,UK,Edinburgh,University of Edinburgh,Electrical Engineering,Engineering,2019,No,Quality of Life,2021,Placed,UK,Google,83047,3.97,F1,Work Permit,Duolingo,6.6
S00086,Ireland,USA,San Francisco,Stanford University,Business Administration,Law,2020,Yes,Job Opportunities,2022,Not Placed,N/A,N/A,0,3.68,Tier 4,OPT,None,0
S00087,Ireland,USA,Boston,MIT,Business Administration,Law,2021,Yes,Scholarship,2024,Placed,USA,Siemens,63774,3.56,Student Visa,Post-Study Visa,TOEFL,7.6
S00088,Russia,USA,San Francisco,UC Berkeley,Political Science,Business,2021,No,Higher Ranking,2023,Not Placed,N/A,N/A,0,3.71,Schengen Student Visa,Post-Study Visa,PTE,5.6
S00089,Finland,UAE,Abu Dhabi,Khalifa University,Law,Arts,2020,Yes,Higher Ranking,2023,Not Placed,N/A,N/A,0,2.77,Tier 4,Blue Card,TOEFL,5.2
S00090,USA,UK,Cambridge,University of Cambridge,Data Science,Business,2022,No,Political Stability,2023,Not Placed,N/A,N/A,0,2.82,Schengen Student Visa,PSW,IELTS,6.4
S00091,Finland,Ireland,Dublin,Technological University Dublin,Architecture,Arts,2022,No,Scholarship,2025,Not Placed,N/A,N/A,0,2.77,Tier 4,Post-Study Visa,Duolingo,7.7
S00092,Germany,Russia,Moscow,Moscow Institute of Physics and Technology,Psychology,Medicine,2022,No,Higher Ranking,2023,Placed,Russia,Tesla,134172,3.22,Student Visa,Work Permit,IELTS,7.2
S00093,UK,South Africa,Durban,University of KwaZulu-Natal,Design,Engineering,2019,Yes,Political Stability,2021,Not Placed,N/A,N/A,0,3.62,F1,OPT,IELTS,7.2
S00094,UAE,South Africa,Johannesburg,University of the Witwatersrand,Economics,Social Sciences,2023,No,Higher Ranking,2026,Not Placed,N/A,N/A,0,3.24,J1,Work Permit,None,0
S00095,South Africa,Ireland,Maynooth,Maynooth University,Psychology,Law,2020,No,Job Opportunities,2022,Placed,Ireland,Apple,122560,2.9,J1,PSW,PTE,5.1
S00096,Finland,USA,Chicago,University of Chicago,Psychology,Arts,2021,No,Higher Ranking,2024,Not Placed,N/A,N/A,0,3.01,Study Permit,OPT,IELTS,7.7
S00097,Finland,USA,New York,Columbia University,Computer Science,Medicine,2022,No,Quality of Life,2023,Not Placed,N/A,N/A,0,3.79,J1,OPT,TOEFL,5.7
S00098,Russia,India,Pilani,BITS Pilani,Design,Arts,2021,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,3.44,Tier 4,OPT,PTE,5.7
S00099,South Africa,Germany,Berlin,TU Berlin,Law,Social Sciences,2022,No,Higher Ranking,2025,Placed,Germany,SAP,59168,3.91,F1,PSW,None,0
S00100,UK,India,Mumbai,IIT Bombay,Business Administration,Engineering,2023,No,Higher Ranking,2025,Not Placed,N/A,N/A,0,3.52,Tier 4,OPT,Duolingo,6.6
S00101,Germany,Finland,Joensuu,University of Eastern Finland,Economics,Natural Sciences,2019,Yes,Job Opportunities,2022,Placed,Finland,IBM,48942,3.15,F1,Post-Study Visa,None,0
S00102,Finland,UAE,Dubai,University of Dubai,Psychology,Natural Sciences,2020,Yes,Higher Ranking,2021,Placed,UAE,Microsoft,57389,3.37,Tier 4,Work Permit,IELTS,5.5
S00103,India,Russia,Moscow,Bauman Moscow State Technical University,Psychology,Law,2019,Yes,Scholarship,2022,Placed,Russia,Goldman Sachs,45866,3.85,Schengen Student Visa,Post-Study Visa,None,0
S00104,Germany,UK,Cambridge,University of Cambridge,Medicine,Computer Science,2022,No,Quality of Life,2024,Placed,UK,Tesla,56343,2.79,Schengen Student Visa,OPT,TOEFL,8.8
S00105,UK,South Africa,Cape Town,University of Cape Town,Political Science,Computer Science,2022,No,Scholarship,2023,Placed,South Africa,Deloitte,131559,3.29,Tier 4,PSW,PTE,8.2
S00106,Finland,UK,Oxford,University of Oxford,Political Science,Business,2021,Yes,Political Stability,2024,Placed,UK,Deloitte,140986,3,J1,Post-Study Visa,IELTS,8.2
S00107,India,USA,Los Angeles,UCLA,Economics,Engineering,2021,No,Higher Ranking,2023,Placed,USA,Goldman Sachs,144597,3.47,J1,Blue Card,Duolingo,5.2
S00108,India,Ireland,Dublin,Trinity College Dublin,Civil Engineering,Computer Science,2022,No,Higher Ranking,2024,Placed,Ireland,Deloitte,58807,3.36,Study Permit,Post-Study Visa,IELTS,5.5
S00109,India,Finland,Joensuu,University of Eastern Finland,Psychology,Social Sciences,2022,Yes,Political Stability,2024,Not Placed,N/A,N/A,0,3.75,J1,PSW,PTE,5.2
S00110,Finland,USA,Chicago,University of Chicago,Medicine,Natural Sciences,2022,No,Higher Ranking,2023,Placed,USA,IBM,107665,2.88,Student Visa,Work Permit,PTE,5.4
S00111,Finland,Germany,Stuttgart,University of Stuttgart,Law,Computer Science,2023,Yes,Scholarship,2026,Not Placed,N/A,N/A,0,3.49,J1,PSW,TOEFL,5.1
S00112,Finland,South Africa,Durban,University of KwaZulu-Natal,Mechanical Engineering,Arts,2021,No,Higher Ranking,2023,Not Placed,N/A,N/A,0,3.54,Tier 4,Post-Study Visa,IELTS,5.3
S00113,South Africa,Ireland,Galway,National University of Ireland Galway,Civil Engineering,Business,2020,No,Political Stability,2021,Placed,Ireland,Deloitte,95555,3.15,F1,Post-Study Visa,TOEFL,9
S00114,Finland,UK,London,UCL,Data Science,Business,2020,No,Quality of Life,2022,Placed,UK,Deloitte,62747,3.03,F1,Blue Card,PTE,7.3
S00115,Finland,USA,San Francisco,UC Berkeley,Design,Medicine,2021,No,Quality of Life,2022,Not Placed,N/A,N/A,0,3.04,F1,Blue Card,PTE,7.9
S00116,USA,Russia,Novosibirsk,Novosibirsk State University,Design,Law,2022,Yes,Job Opportunities,2023,Placed,Russia,McKinsey,98698,3.81,F1,Blue Card,TOEFL,6.5
S00117,South Africa,Russia,Moscow,Higher School of Economics,Psychology,Arts,2023,No,Job Opportunities,2025,Placed,Russia,Amazon,119341,2.93,Study Permit,Blue Card,Duolingo,6.1
S00118,USA,UAE,Dubai,University of Dubai,Law,Social Sciences,2023,Yes,Political Stability,2025,Not Placed,N/A,N/A,0,3.95,F1,PSW,None,0
S00119,Finland,UK,Birmingham,University of Birmingham,Law,Engineering,2023,No,Job Opportunities,2026,Placed,UK,Deloitte,118240,3.08,J1,Post-Study Visa,None,0
S00120,Canada,Russia,Kazan,Kazan Federal University,Law,Business,2023,Yes,Job Opportunities,2025,Not Placed,N/A,N/A,0,3.21,J1,Work Permit,PTE,8.2
S00121,South Africa,USA,New York,NYU,Economics,Medicine,2022,No,Higher Ranking,2023,Placed,USA,SAP,118440,3.51,Tier 4,OPT,IELTS,5.2
S00122,Ireland,Russia,Moscow,Moscow Institute of Physics and Technology,Business Administration,Medicine,2021,Yes,Quality of Life,2022,Placed,Russia,Google,72279,3.24,Tier 4,PSW,None,0
S00123,Germany,UAE,Dubai,University of Dubai,Design,Social Sciences,2022,Yes,Quality of Life,2025,Not Placed,N/A,N/A,0,3.71,Tier 4,Post-Study Visa,IELTS,8
S00124,South Africa,Russia,Moscow,Higher School of Economics,Data Science,Social Sciences,2022,No,Scholarship,2024,Placed,Russia,Microsoft,78980,3.93,Schengen Student Visa,Work Permit,PTE,8.7
S00125,Finland,Ireland,Cork,University College Cork,Electrical Engineering,Engineering,2022,Yes,Scholarship,2024,Placed,Ireland,Tesla,145270,2.88,J1,Work Permit,TOEFL,7.2
S00126,UAE,South Africa,Stellenbosch,Stellenbosch University,Architecture,Business,2019,No,Job Opportunities,2021,Placed,South Africa,Deloitte,49023,3.05,Study Permit,Work Permit,None,0
S00127,Germany,India,Tiruchirappalli,NIT Trichy,Design,Social Sciences,2021,No,Higher Ranking,2022,Not Placed,N/A,N/A,0,2.7,F1,Post-Study Visa,TOEFL,8.2
S00128,UAE,India,Delhi,Delhi University,Architecture,Business,2019,No,Scholarship,2020,Not Placed,N/A,N/A,0,3.48,Student Visa,Post-Study Visa,TOEFL,6.4
S00129,USA,UAE,Dubai,Middlesex University Dubai,Electrical Engineering,Arts,2021,Yes,Job Opportunities,2023,Placed,UAE,Apple,35945,2.85,J1,Post-Study Visa,TOEFL,5.9
S00130,Ireland,UK,London,Imperial College London,Mechanical Engineering,Medicine,2021,Yes,Job Opportunities,2024,Placed,UK,Microsoft,84436,3.76,Study Permit,Work Permit,Duolingo,7.9
S00131,Ireland,USA,New York,NYU,Civil Engineering,Business,2023,No,Quality of Life,2024,Placed,USA,SAP,106776,2.88,Student Visa,Blue Card,PTE,8.3
S00132,India,Germany,Heidelberg,Heidelberg University,Data Science,Business,2023,Yes,Higher Ranking,2024,Not Placed,N/A,N/A,0,2.75,F1,Blue Card,Duolingo,8.5
S00133,Ireland,USA,Boston,Harvard University,Architecture,Computer Science,2022,Yes,Job Opportunities,2025,Placed,USA,Deloitte,103698,2.63,J1,OPT,IELTS,7.1
S00134,India,UK,Birmingham,University of Birmingham,Law,Computer Science,2021,Yes,Political Stability,2022,Placed,UK,McKinsey,111966,2.86,Schengen Student Visa,Blue Card,None,0
S00135,Ireland,Germany,Munich,LMU Munich,Civil Engineering,Business,2023,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,3.33,Student Visa,PSW,None,0
S00136,USA,Canada,Montreal,McGill University,Data Science,Medicine,2022,Yes,Higher Ranking,2025,Placed,Canada,Google,114986,2.67,Tier 4,PSW,None,0
S00137,Finland,India,Mumbai,IIT Bombay,Civil Engineering,Natural Sciences,2021,Yes,Political Stability,2022,Placed,India,SAP,86902,2.97,Study Permit,Post-Study Visa,Duolingo,7.7
S00138,Ireland,Russia,Kazan,Kazan Federal University,Architecture,Arts,2019,No,Political Stability,2020,Placed,Russia,SAP,109316,3.1,Student Visa,PSW,PTE,7.5
S00139,India,UAE,Dubai,University of Dubai,Law,Medicine,2020,No,Scholarship,2021,Placed,UAE,IBM,117772,2.55,Tier 4,Post-Study Visa,TOEFL,5.7
S00140,USA,India,Chennai,IIT Madras,Political Science,Social Sciences,2020,Yes,Quality of Life,2021,Not Placed,N/A,N/A,0,3.86,Tier 4,Blue Card,TOEFL,7.4
S00141,Ireland,UAE,Dubai,Heriot-Watt Dubai,Political Science,Social Sciences,2019,Yes,Job Opportunities,2022,Placed,UAE,Amazon,136531,3.63,Schengen Student Visa,Post-Study Visa,IELTS,5.9
S00142,Canada,India,Delhi,JNU Delhi,Civil Engineering,Business,2022,Yes,Quality of Life,2024,Placed,India,Tesla,60042,2.55,F1,PSW,TOEFL,8.4
S00143,USA,India,Tiruchirappalli,NIT Trichy,Architecture,Law,2022,Yes,Scholarship,2023,Placed,India,Apple,110655,2.83,J1,Blue Card,None,0
S00144,Russia,UAE,Dubai,University of Dubai,Political Science,Social Sciences,2019,No,Job Opportunities,2021,Placed,UAE,IBM,44783,3.72,J1,PSW,IELTS,7.8
S00145,UK,India,Tiruchirappalli,NIT Trichy,Mechanical Engineering,Business,2023,Yes,Higher Ranking,2025,Placed,India,Intel,91543,3.07,F1,Work Permit,Duolingo,6.2
S00146,Canada,UAE,Abu Dhabi,Zayed University,Architecture,Law,2020,No,Political Stability,2023,Not Placed,N/A,N/A,0,2.55,F1,OPT,Duolingo,8.9
S00147,Russia,UAE,Sharjah,American University of Sharjah,Design,Medicine,2020,Yes,Political Stability,2021,Not Placed,N/A,N/A,0,2.78,Tier 4,Post-Study Visa,TOEFL,5.4
S00148,Russia,Ireland,Maynooth,Maynooth University,Political Science,Law,2022,Yes,Quality of Life,2025,Placed,Ireland,Goldman Sachs,31249,2.57,F1,Post-Study Visa,IELTS,8.6
S00149,Germany,Canada,Vancouver,Simon Fraser University,Architecture,Social Sciences,2021,No,Political Stability,2023,Not Placed,N/A,N/A,0,2.91,Tier 4,PSW,Duolingo,8.4
S00150,Germany,South Africa,Stellenbosch,Stellenbosch University,Architecture,Computer Science,2020,Yes,Job Opportunities,2023,Not Placed,N/A,N/A,0,2.94,J1,Work Permit,Duolingo,6.7
S00151,Finland,USA,San Francisco,Stanford University,Mechanical Engineering,Arts,2023,Yes,Job Opportunities,2026,Not Placed,N/A,N/A,0,3.91,J1,Work Permit,TOEFL,7.9
S00152,Canada,UAE,Dubai,Manipal Academy Dubai,Design,Medicine,2023,Yes,Higher Ranking,2024,Placed,UAE,Amazon,123153,3.62,Schengen Student Visa,Blue Card,TOEFL,7.8
